日期,产品类型,规格,区域,资源ID,使用时长,费用,用量,用量单位
2026-07-19,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,2.5,20.37,23.53,小时
2026-07-19,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,11.4,23.98,22.44,小时
2026-07-19,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,12.1,6.67,1.96,小时
2026-07-19,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,5.5,42.92,23.19,小时
2026-07-19,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,21.2,38.55,22.8,小时
2026-07-19,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,12.6,142.28,338.21,GB
2026-07-19,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,12.0,3.33,0.0,Mbps
2026-07-19,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,18.3,3.33,0.0,Mbps
2026-07-20,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,11.7,26.79,22.85,小时
2026-07-20,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,0.9,23.44,21.18,小时
2026-07-20,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,6.2,23.87,22.66,小时
2026-07-20,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,13.0,6.67,2.41,小时
2026-07-20,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,18.0,6.67,1.99,小时
2026-07-20,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,17.0,6.67,1.72,小时
2026-07-20,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,5.9,40.95,22.89,小时
2026-07-20,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,18.0,64.86,23.8,小时
2026-07-20,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,5.6,262.83,396.84,GB
2026-07-20,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,14.5,3.33,0.0,Mbps
2026-07-20,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,23.5,3.33,0.0,Mbps
2026-07-20,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,20.1,3.33,0.0,Mbps
2026-07-21,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,5.8,10.8,20.72,小时
2026-07-21,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,13.1,41.39,21.1,小时
2026-07-21,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,7.4,6.67,4.75,小时
2026-07-21,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,15.5,6.67,3.89,小时
2026-07-21,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,2.9,6.67,0.56,小时
2026-07-21,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,11.5,31.79,21.76,小时
2026-07-21,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,1.7,52.14,23.76,小时
2026-07-21,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,9.9,193.52,314.82,GB
2026-07-21,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,4.1,3.33,0.0,Mbps
2026-07-22,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,22.8,17.74,20.34,小时
2026-07-22,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,13.6,30.2,21.66,小时
2026-07-22,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,15.0,24.73,23.1,小时
2026-07-22,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,7.5,6.67,3.15,小时
2026-07-22,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,10.6,6.67,3.06,小时
2026-07-22,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,14.8,77.35,22.96,小时
2026-07-22,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,15.2,120.21,352.93,GB
2026-07-22,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,4.6,3.33,0.0,Mbps
2026-07-23,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,4.2,33.18,21.63,小时
2026-07-23,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,7.3,6.67,1.54,小时
2026-07-23,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,17.1,6.67,3.66,小时
2026-07-23,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,2.2,34.77,20.93,小时
2026-07-23,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,19.1,67.3,22.36,小时
2026-07-23,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,10.5,255.08,408.91,GB
2026-07-23,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,19.9,3.33,0.0,Mbps
2026-07-23,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,2.2,3.33,0.0,Mbps
2026-07-24,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,19.1,38.86,22.38,小时
2026-07-24,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,10.8,6.67,2.61,小时
2026-07-24,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,7.6,6.67,2.31,小时
2026-07-24,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,12.3,26.4,21.98,小时
2026-07-24,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,1.4,39.24,21.73,小时
2026-07-24,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,1.1,220.3,345.78,GB
2026-07-24,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,20.7,129.57,417.42,GB
2026-07-24,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,19.8,3.33,0.0,Mbps
2026-07-24,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,14.0,3.33,0.0,Mbps
2026-07-24,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,18.4,3.33,0.0,Mbps
2026-07-25,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,11.6,42.37,22.61,小时
2026-07-25,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,23.9,6.67,2.46,小时
2026-07-25,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,23.3,44.22,21.88,小时
2026-07-25,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,8.0,28.63,20.42,小时
2026-07-25,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,16.8,276.31,357.64,GB
2026-07-25,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,19.6,216.24,410.02,GB
2026-07-25,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,6.4,3.33,0.0,Mbps
2026-07-25,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,3.2,3.33,0.0,Mbps
2026-07-26,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,20.8,11.69,23.3,小时
2026-07-26,弹性云服务器 ECS,s6.small.1 | 1vCPU | 1GB,华北-北京四,ecs-hw-001,20.9,12.7,21.85,小时
2026-07-26,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,9.0,6.67,3.9,小时
2026-07-26,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,15.2,6.67,3.92,小时
2026-07-26,弹性云服务器 ECS,s6.large.2 | 2vCPU | 4GB,华东-上海一,ecs-hw-002,5.3,6.67,2.97,小时
2026-07-26,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,10.8,29.71,22.79,小时
2026-07-26,云数据库 RDS,MySQL 5.7 | 2核4GB | 100GB SSD,华南-广州,rds-hw-003,23.4,35.86,22.44,小时
2026-07-26,云硬盘 EVS,高IO | 500GB,华北-北京四,evs-hw-004,7.8,152.58,302.73,GB
2026-07-26,弹性公网IP,独享带宽 | 10Mbps,华东-上海一,eip-hw-005,23.8,3.33,0.0,Mbps
